d1,d2,type
DB00699,DB01118,46
DB09270,DB01380,72
DB00586,DB00169,46
DB01006,DB01118,46
DB01161,DB00906,48
DB00701,DB08933,72
DB01189,DB08922,48
DB00604,DB08820,72
DB11268,DB00328,5
DB01086,DB01587,48
DB06410,DB00808,50
DB00907,DB01563,48
DB08958,DB09231,48
DB00724,DB00215,46
DB00747,DB00215,48
DB01393,DB01264,46
DB00808,DB01261,69
DB08827,DB00199,72
DB09235,DB00976,46
DB00665,DB00951,46
DB00312,DB06781,74
DB09211,DB06154,48
DB00924,DB09120,46
DB09231,DB01211,46
DB00933,DB00737,48
DB00967,DB04841,48
DB06148,DB01104,46
DB00212,DB00335,59
DB08903,DB00199,19
DB00898,DB00395,15
DB00835,DB01018,48
DB00829,DB00645,48
DB01156,DB00956,10
DB00688,DB00443,48
DB01087,DB00976,19
DB00694,DB00215,46
DB01197,DB09291,46
DB11268,DB06209,5
DB00556,DB04953,19
DB09270,DB00635,72
DB01081,DB09068,48
DB01136,DB00179,36
DB00559,DB08933,72
DB11574,DB01026,46
DB09262,DB08933,72
DB00395,DB00967,48
DB01209,DB00575,48
DB00657,DB01081,48
DB00246,DB00976,46
DB00358,DB01026,46
DB00899,DB09235,48
DB09343,DB09389,69
DB01578,DB09215,71
DB09242,DB00384,48
DB00571,DB09038,48
DB01126,DB08820,72
DB00724,DB00976,46
DB01261,DB01357,74
DB00528,DB00755,48
DB00571,DB09270,69
DB00312,DB01012,3
DB01384,DB00199,46
DB01154,DB06148,15
DB01418,DB00586,5
DB00312,DB01567,48
DB12278,DB06148,1
DB00714,DB00325,48
DB00721,DB00807,48
DB01118,DB09242,48
DB11268,DB00586,5
DB00699,DB01026,46
DB00691,DB09235,59
DB00906,DB08933,72
DB00335,DB09288,36
DB01081,DB00937,68
DB04898,DB08887,5
DB00544,DB09291,72
DB00217,DB09235,59
DB00335,DB00938,13
DB09281,DB00288,2
DB00657,DB01018,48
DB01184,DB01104,19
DB01118,DB00657,48
DB00358,DB00960,53
DB01086,DB01563,48
DB06176,DB01264,72
DB06684,DB00496,46
DB00730,DB00215,46
DB00312,DB01587,3
DB00680,DB00611,59
DB00829,DB08820,72
DB09241,DB03754,66
DB01418,DB00976,46
DB00571,DB07615,36
DB01614,DB00358,72
DB01129,DB00976,46
DB08903,DB00358,19
DB01189,DB01161,48
DB01197,DB09288,48
DB03754,DB00896,2
DB01159,DB04842,48
DB09242,DB09477,59
DB01010,DB00387,69
DB00571,DB01167,46
DB01068,DB08820,72
DB00401,DB09477,59
DB09241,DB01184,48
DB00835,DB06595,46
DB01209,DB00423,48
DB01136,DB00246,46
DB00604,DB06595,46
DB11268,DB01418,5
DB01086,DB01614,48
DB01159,DB01161,48
DB00714,DB00657,48
DB00699,DB09238,46
DB00187,DB00411,48
DB01104,DB04842,48
DB11268,DB08887,5
DB01136,DB03585,36
DB01197,DB06292,48
DB00401,DB00199,46
DB08903,DB00808,19
DB01261,DB01167,46
DB00976,DB01026,72
DB00701,DB01129,46
DB00246,DB01189,19
DB00699,DB01211,48
DB00586,DB00620,48
DB06209,DB06595,46
DB00187,DB00691,48
DB00714,DB01156,48
DB00215,DB00743,19
DB00217,DB01203,24
DB00737,DB01018,48
DB00334,DB00721,48
DB08798,DB01685,46
DB00714,DB09477,48
DB08971,DB00255,72
DB01708,DB01026,46
DB00328,DB01380,48
DB00312,DB00688,3
DB00312,DB00691,59
DB01181,DB00215,46
DB01018,DB00528,59
DB01209,DB00413,31
DB00457,DB01288,4
DB00539,DB09120,46
DB00755,DB00335,48
DB00543,DB00169,46
DB00956,DB09235,48
DB00611,DB09235,48
DB00604,DB00898,48
DB00620,DB01400,48
DB00559,DB00755,74
DB01384,DB01026,46
DB06292,DB09291,46
DB04842,DB00413,31
DB00462,DB00611,48
DB01159,DB00960,48
DB00657,DB09242,59
DB00543,DB09477,72
DB00334,DB00413,31
DB01129,DB08820,72
DB06684,DB01026,72
DB00184,DB09120,46
DB00292,DB00555,48
DB00312,DB00335,59
DB00212,DB04574,74
DB00387,DB00899,48
DB13142,DB00528,69
DB00312,DB01105,3
DB00449,DB01136,24
DB00586,DB09120,46
DB00645,DB01614,48
DB04842,DB00555,48
DB01018,DB08933,72
DB01429,DB00458,46
DB00186,DB01159,48
DB00898,DB00555,15
DB06402,DB01167,19
DB01181,DB09280,72
DB04953,DB01104,48
DB01614,DB01087,72
DB00603,DB01261,69
DB01136,DB00411,48
DB01159,DB00482,46
DB00246,DB01081,48
DB00906,DB08820,72
DB01177,DB07615,71
DB00498,DB00199,72
DB00455,DB00544,46
DB00657,DB01578,20
DB08994,DB06209,5
DB00187,DB01612,48
DB01081,DB01068,48
DB09281,DB01708,2
DB01161,DB01563,48
DB00829,DB00169,46
DB00498,DB00319,5
DB13142,DB00808,71
DB00747,DB01018,48
DB00528,DB01211,72
DB00699,DB00169,46
DB00839,DB00571,8
DB00434,DB00967,48
DB06701,DB09291,46
DB00960,DB00179,36
DB09280,DB00253,74
DB00543,DB00620,69
DB01393,DB00246,46
DB00328,DB01026,46
DB00199,DB00808,19
DB01189,DB01587,48
DB01183,DB01132,46
DB00217,DB00808,59
DB01156,DB00169,46
DB13450,DB00479,39
DB09477,DB01211,69
DB00358,DB00967,69
DB00699,DB01234,48
DB00604,DB01104,19
DB00312,DB00215,3
DB00688,DB01167,46
DB00475,DB01156,46
DB01177,DB00179,71
DB00645,DB01068,48
DB01203,DB08941,48
DB09215,DB00547,48
DB09231,DB01321,46
DB01563,DB00413,31
DB00559,DB01203,59
DB00358,DB08820,72
DB04841,DB00496,46
DB00475,DB00967,48
DB01118,DB00743,19
DB00701,DB01156,46
DB01336,DB01578,39
DB01154,DB00571,59
DB00937,DB08922,60
DB12267,DB09291,72
DB00312,DB01087,3
DB01105,DB00976,46
DB04841,DB01685,46
DB01068,DB04953,48
DB00762,DB00246,46
DB01087,DB00246,46
DB00312,DB01161,48
DB00988,DB06595,46
DB01203,DB00411,48
DB00956,DB00575,15
DB11613,DB01026,46
DB04898,DB00255,74
DB00808,DB09038,48
DB01136,DB07615,59
DB12267,DB08933,72
DB01090,DB01209,48
DB04930,DB01026,46
DB06684,DB00169,46
DB01357,DB09038,69
DB09280,DB00358,3
DB00611,DB00458,48
DB09477,DB04574,74
DB00571,DB00411,48
DB01159,DB04841,48
DB01159,DB00496,46
DB01567,DB00575,48
DB00358,DB01085,48
DB00694,DB00199,46
DB00458,DB00808,48
DB00217,DB09477,59
DB00458,DB00496,46
DB00413,DB00384,48
DB00559,DB00544,72
DB00699,DB09291,46
DB00956,DB08933,72
DB06292,DB00976,46
DB01261,DB08933,72
DB06154,DB00179,5
DB00611,DB01161,48
DB00611,DB00395,48
DB00933,DB00455,48
DB00482,DB01708,48
DB00404,DB00835,48
DB00288,DB01211,72
DB09053,DB08820,72
DB01086,DB01175,48
DB08922,DB09280,72
DB00956,DB01567,15
DB00762,DB08933,72
DB01567,DB00458,48
DB01708,DB01118,46
DB00604,DB01321,72
DB04841,DB00199,46
DB01136,DB00951,46
DB09053,DB00829,72
DB00334,DB09068,48
DB01041,DB00594,48
DB00424,DB01081,48
DB13139,DB00808,82
DB00755,DB00883,48
DB01041,DB00334,15
DB09270,DB01321,72
DB00960,DB00184,48
DB01154,DB00967,48
DB09389,DB01167,46
DB01041,DB00434,15
DB00755,DB01018,48
DB13450,DB01177,39
DB01384,DB00255,72
DB00288,DB00358,48
DB00963,DB00896,48
DB00259,DB00657,48
DB00404,DB00575,48
DB00933,DB00215,46
DB01611,DB00358,48
DB00312,DB01393,3
DB09068,DB09120,46
DB08922,DB00967,48
DB00699,DB00951,46
DB00604,DB00458,19
DB01041,DB04841,15
DB01087,DB06595,46
DB01611,DB01058,74
DB08958,DB09238,48
DB01587,DB00434,48
DB00743,DB00556,19
DB00496,DB01211,46
DB00559,DB00808,74
DB00899,DB01018,48
DB00496,DB01081,48
DB00829,DB00906,48
DB01175,DB01026,46
DB09242,DB00528,59
DB06684,DB00334,48
DB01159,DB01104,46
DB00937,DB06691,75
DB00482,DB00896,48
DB01203,DB00586,36
DB01105,DB08933,72
DB00014,DB00543,19
DB00835,DB00246,46
DB01261,DB01129,46
DB08820,DB01264,72
DB00186,DB00395,48
DB00413,DB00401,48
DB00870,DB00635,48
DB00423,DB00455,48
DB01189,DB00335,48
DB00611,DB04842,48
DB09053,DB09120,72
DB00187,DB09288,36
DB01104,DB00924,48
DB01018,DB01068,48
DB09280,DB00288,74
DB01567,DB04842,48
DB01156,DB09068,48
DB09281,DB01380,2
DB00288,DB01122,48
DB00933,DB09238,46
DB00956,DB00906,15
DB00404,DB00413,31
DB00645,DB00543,48
DB00498,DB09093,5
DB00899,DB08922,48
DB00699,DB01685,48
DB00963,DB06826,69
DB09242,DB01090,59
DB04842,DB00434,48
DB00395,DB01104,46
DB01122,DB00424,69
DB01159,DB06292,48
DB00169,DB08933,72
DB09280,DB01026,74
DB00645,DB01086,48
DB00996,DB01081,48
DB07615,DB00325,59
DB00747,DB00340,48
DB00603,DB00246,46
DB00933,DB00555,48
DB09280,DB00496,3
DB00924,DB01189,48
DB01154,DB09242,59
DB04898,DB04574,74
DB01085,DB00976,46
DB01129,DB01118,46
DB01156,DB00907,46
DB01380,DB01118,46
DB01154,DB01068,48
DB00559,DB00199,72
DB01041,DB00951,46
DB01587,DB04842,48
DB00899,DB01612,48
DB00575,DB09242,59
DB00956,DB00807,15
DB09078,DB01264,46
DB01159,DB01197,48
DB06781,DB01211,72
DB01203,DB00185,48
DB04841,DB00907,46
DB00312,DB00404,3
DB00586,DB09288,48
DB00136,DB01026,46
DB00960,DB00457,29
DB00312,DB00413,31
DB00179,DB01380,48
DB00358,DB00411,48
DB01175,DB01211,46
DB00571,DB06292,48
DB01228,DB00458,46
DB00937,DB00458,22
DB00495,DB05219,46
DB09270,DB00839,7
DB01136,DB01012,46
DB00482,DB01026,46
DB01041,DB04842,15
DB01154,DB00215,48
DB00335,DB00808,48
DB04841,DB00184,46
DB00266,DB07615,5
DB01136,DB08941,48
DB09477,DB01048,74
DB00737,DB00967,48
DB11915,DB00976,46
DB01357,DB05219,46
DB01154,DB00423,48
DB01177,DB00963,71
DB00358,DB00906,69
DB00635,DB01026,72
DB01154,DB01197,59
DB00498,DB00713,5
DB00498,DB09270,11
DB01018,DB01026,72
DB00611,DB00906,48
DB00312,DB08932,74
DB00312,DB09238,3
DB00960,DB01085,48
DB00312,DB00586,3
DB00495,DB09280,72
DB01708,DB01264,46
DB09280,DB00309,3
DB01184,DB06402,19
DB00680,DB00335,59
DB00498,DB04574,11
DB00956,DB00334,15
DB01234,DB00951,74
DB01429,DB00215,46
DB01587,DB00423,48
DB00334,DB01132,69
DB00575,DB00747,48
DB00482,DB08971,48
DB09280,DB08798,74
DB00688,DB00896,48
DB01104,DB00496,46
DB00975,DB01136,53
DB00586,DB01132,46
DB00870,DB00253,48
DB00014,DB04953,19
DB01228,DB00246,46
DB00358,DB01203,53
DB00199,DB01167,46
DB00755,DB00187,48
DB01006,DB00976,46
DB01177,DB01264,72
DB00691,DB09238,59
DB01136,DB00586,36
DB00312,DB12267,3
DB03754,DB01167,74
DB01086,DB01018,48
DB00829,DB01211,46
DB00266,DB01606,5
DB06781,DB01118,72
DB00611,DB00967,48
DB00956,DB04841,15
DB00334,DB04842,48
DB00755,DB00482,46
DB00924,DB01102,48
DB00482,DB00288,48
DB12267,DB09280,72
DB00724,DB01167,46
DB00694,DB01264,46
DB01090,DB12278,48
DB00594,DB07615,36
DB01614,DB01611,72
DB09343,DB06804,69
DB00737,DB01068,48
DB09241,DB00571,59
DB00956,DB09068,15
DB06402,DB01026,19
DB01006,DB00184,46
DB08922,DB05219,46
DB00604,DB00199,72
DB00462,DB06148,1
DB09053,DB01087,72
DB01118,DB01203,53
DB00899,DB00907,48
DB01429,DB00951,46
DB00701,DB05219,46
DB01184,DB00496,46
DB09389,DB01026,46
DB00528,DB00808,59
DB08922,DB06595,46
DB11828,DB01264,46
DB00691,DB01048,74
DB04841,DB09120,46
DB08922,DB00737,48
DB00462,DB01081,48
DB00475,DB01614,48
DB00246,DB00743,19
DB00543,DB01026,46
DB01228,DB01104,46
DB01380,DB00951,74
DB00559,DB00455,74
DB09235,DB00199,46
DB00401,DB08941,48
DB01563,DB00434,48
DB00701,DB01104,46
DB00217,DB01136,24
DB00559,DB01126,74
DB00937,DB00434,75
DB00933,DB01026,46
DB09270,DB00762,72
DB01614,DB00555,48
DB00933,DB00575,48
DB00988,DB08933,72
DB01161,DB09068,48
DB01136,DB00555,59
DB00312,DB01006,3
DB09078,DB00246,46
DB03754,DB09270,74
DB00543,DB01012,72
DB00808,DB08941,48
DB00714,DB00899,48
DB09270,DB00259,72
DB00334,DB09120,46
DB09068,DB00169,46
DB00495,DB01129,46
DB00721,DB00458,48
DB00362,DB00555,48
DB00434,DB04841,48
DB00328,DB01685,46
DB09270,DB00404,72
DB00458,DB00169,46
DB01156,DB01104,72
DB09280,DB06176,74
DB00645,DB01161,48
DB00594,DB00870,36
DB01197,DB00907,46
DB01209,DB04842,48
DB09281,DB01234,2
DB00217,DB00575,59
DB00717,DB00199,46
DB09078,DB00556,19
DB00340,DB00462,48
DB00691,DB00960,48
DB01418,DB04574,11
DB00933,DB01156,46
DB09242,DB00960,24
DB00951,DB01026,74
DB00575,DB01104,46
DB00539,DB01184,32
DB00755,DB00975,48
DB01081,DB00458,48
DB00933,DB00951,46
DB00482,DB00808,69
DB00266,DB00215,5
DB00755,DB01211,46
DB00215,DB08903,19
DB00737,DB04953,48
DB09235,DB09038,48
DB00835,DB09120,46
DB00575,DB00976,46
DB00336,DB00482,46
DB01612,DB08941,48
DB00829,DB00434,48
DB01058,DB01264,46
DB09280,DB04574,74
DB09235,DB00325,59
DB09280,DB00956,74
DB01211,DB00199,19
DB00717,DB06154,69
DB01159,DB00755,48
DB08971,DB01211,72
DB11575,DB08933,72
DB01081,DB00721,48
DB09280,DB00883,3
DB00956,DB00721,15
DB00699,DB00255,48
DB06209,DB07615,5
DB12267,DB00199,46
DB04898,DB00775,5
DB00963,DB00253,48
DB00938,DB08820,72
DB01418,DB00279,5
DB00482,DB01264,46
DB00829,DB00215,46
DB01418,DB00485,11
DB00368,DB08941,48
DB00455,DB01132,46
DB00586,DB01264,46
DB00571,DB00907,46
DB00575,DB09120,46
DB00559,DB00498,3
DB01189,DB01203,48
DB00312,DB04953,48
DB00938,DB01026,46
DB00807,DB04841,48
DB09053,DB00458,46
DB08827,DB01264,72
DB00635,DB01264,72
DB00896,DB00976,72
DB12267,DB01132,46
DB00186,DB00906,48
DB00883,DB00246,46
DB09241,DB01291,48
DB01136,DB00976,46
DB00404,DB00434,48
DB00187,DB00185,48
DB00443,DB00136,69
DB01159,DB06595,46
DB00808,DB00387,72
DB00996,DB01321,46
DB01104,DB00544,46
DB00404,DB00701,72
DB00288,DB01010,48
DB09211,DB08814,48
DB01026,DB01181,10
DB00485,DB01578,74
DB01018,DB00458,36
DB01159,DB00215,46
DB00312,DB00358,3
DB00694,DB03585,71
DB00498,DB01211,72
DB00312,DB01261,3
DB00604,DB00927,19
DB01261,DB08820,72
DB00185,DB01118,46
DB00334,DB00714,69
DB00217,DB00657,59
DB01209,DB00808,48
DB00688,DB09211,69
DB09053,DB08887,48
DB00691,DB06826,59
DB00498,DB00924,5
DB00829,DB01154,48
DB00870,DB00620,48
DB01161,DB00835,48
DB00694,DB01156,72
DB06292,DB00496,46
DB00498,DB09288,5
DB00358,DB00387,69
DB01261,DB01685,46
DB00395,DB01175,48
DB01175,DB00976,46
DB01357,DB00279,69
DB01132,DB06595,46
DB09053,DB00877,72
DB00334,DB00747,48
DB00559,DB09238,72
DB09280,DB06292,74
DB00186,DB00404,48
DB08932,DB01104,46
DB00335,DB01090,59
DB00898,DB01167,46
DB00924,DB00413,31
DB01041,DB00457,48
DB01614,DB08922,48
DB00404,DB04898,72
DB00870,DB01384,48
DB00482,DB08820,72
DB00555,DB00575,48
DB00657,DB00967,48
DB00960,DB06595,46
DB00209,DB01081,48
DB00699,DB01087,48
DB01068,DB01026,46
DB01234,DB00255,72
DB06292,DB01104,46
DB00933,DB00169,46
DB01118,DB01211,46
DB00586,DB00635,48
DB06781,DB00358,48
DB00714,DB00594,48
DB01261,DB09280,72
DB00699,DB08933,48
DB11915,DB08933,72
DB01041,DB00924,15
DB00543,DB00496,46
DB01393,DB00199,46
DB00701,DB00169,46
DB00404,DB00475,48
DB09280,DB09068,74
DB09477,DB00255,74
DB00358,DB00340,69
DB00401,DB00883,48
DB00539,DB00334,19
DB00199,DB01181,10
DB00645,DB00933,48
DB00755,DB09389,69
DB01159,DB00458,46
DB00426,DB01264,46
DB00883,DB00898,37
DB08827,DB01211,72
DB00122,DB01156,72
DB00960,DB09235,59
DB01154,DB09038,59
DB01154,DB01563,48
DB00645,DB00458,48
DB00976,DB01167,72
DB00650,DB00544,48
DB07615,DB01160,69
DB00956,DB01104,46
DB06402,DB00334,19
DB01261,DB09241,8
DB00559,DB00539,74
DB00927,DB01167,74
DB09068,DB00737,48
DB01384,DB01167,46
DB00976,DB06209,10
DB09068,DB00150,63
DB00209,DB00657,48
DB00699,DB00443,48
DB00559,DB09291,74
DB01336,DB00479,39
DB03754,DB00620,2
DB00184,DB00169,46
DB00186,DB01567,48
DB01159,DB00835,48
DB00951,DB09281,66
DB00870,DB01685,46
DB00559,DB00960,59
DB06176,DB00199,46
DB00829,DB01129,46
DB11828,DB01026,46
DB00988,DB00907,46
DB00988,DB00496,46
DB01104,DB01685,46
DB01189,DB00571,48
DB01189,DB01567,48
DB01189,DB00401,48
DB00807,DB04953,48
DB00967,DB01068,48
DB00755,DB00603,69
DB00404,DB00967,48
DB11619,DB00498,69
DB00688,DB01026,46
DB00288,DB01264,72
DB00924,DB01167,46
DB00215,DB00279,69
DB00215,DB06402,19
DB00475,DB01086,48
DB00899,DB01068,48
DB01183,DB00482,46
DB00358,DB04841,69
DB01563,DB00395,48
DB00571,DB08933,72
DB09477,DB00870,48
DB06209,DB00199,46
DB11699,DB00714,59
DB04842,DB04953,48
DB04930,DB08933,72
DB00810,DB00496,48
DB09093,DB09281,66
DB00334,DB00575,48
DB00575,DB00975,48
DB01183,DB05219,46
DB00559,DB01104,74
DB00404,DB01261,72
DB00938,DB00808,82
DB00571,DB09477,59
DB01175,DB08922,48
DB00475,DB00169,46
DB01175,DB00907,46
DB00883,DB08933,72
DB00496,DB00976,46
DB09068,DB00555,48
DB00963,DB01234,48
DB00688,DB01380,48
DB00179,DB09215,48
DB11613,DB08933,72
DB00747,DB00209,48
DB01567,DB00334,48
DB01041,DB00906,15
DB01189,DB08941,48
DB00604,DB00014,19
DB00215,DB09120,72
DB00413,DB01136,48
DB00808,DB01252,69
DB12267,DB08827,74
DB00924,DB09238,46
DB09477,DB01357,74
DB00498,DB01175,5
DB00898,DB08820,72
DB00328,DB08971,48
DB09235,DB00458,48
DB03585,DB00635,48
DB01203,DB01104,72
DB04574,DB09038,69
DB01136,DB01087,46
DB11268,DB08814,5
DB00976,DB00539,48
DB09288,DB08971,48
DB00701,DB00215,46
DB00620,DB08820,72
DB00714,DB00413,48
DB00495,DB01118,46
DB01132,DB08820,72
DB00266,DB01118,5
DB01418,DB08933,72
DB00645,DB00967,48
DB00906,DB01175,48
DB00335,DB01102,13
DB00215,DB00014,19
DB00924,DB00721,48
DB00688,DB00482,46
DB00395,DB09120,46
DB00604,DB00976,72
DB00898,DB01086,15
DB00423,DB00458,48
DB09281,DB00443,2
DB06148,DB00449,69
DB01357,DB01118,46
DB04841,DB04953,48
DB09215,DB01160,69
DB12001,DB01026,72
DB00434,DB00455,48
DB00645,DB08922,48
DB00434,DB00906,48
DB01154,DB00975,59
DB01154,DB09235,3
DB00179,DB00288,48
DB00387,DB00424,48
DB01018,DB06826,59
DB09241,DB00458,63
DB00694,DB00179,71
DB00896,DB00808,82
DB00179,DB08971,48
DB01081,DB00645,48
DB01175,DB09291,46
DB09078,DB00358,19
DB00312,DB00434,48
DB00559,DB01136,74
DB11613,DB01211,46
DB00938,DB01118,46
DB01068,DB00199,46
DB00898,DB01211,46
DB04574,DB00199,46
DB11915,DB01264,72
DB01136,DB00457,29
DB00571,DB01211,46
DB01197,DB04574,74
DB00266,DB09215,5
DB00620,DB08933,72
DB06684,DB00215,48
DB00933,DB00434,48
DB00699,DB01129,48
DB00717,DB08820,72
DB01189,DB00960,48
DB00575,DB04953,48
DB00217,DB00691,59
DB00479,DB00963,71
DB01197,DB00328,48
DB00179,DB09211,69
DB06148,DB01118,46
DB01184,DB01026,72
DB01136,DB06595,72
DB00899,DB01161,48
DB00571,DB00586,36
DB04574,DB00839,69
DB00721,DB00543,48
DB00907,DB01118,46
DB00179,DB00896,48
DB00899,DB00543,48
DB00898,DB01614,15
DB04898,DB01048,74
DB00871,DB00808,82
DB00960,DB01264,72
DB00404,DB01587,48
DB00334,DB09291,46
DB00898,DB00423,15
DB07615,DB00253,48
DB00899,DB00996,48
DB00963,DB09288,48
DB09078,DB01211,19
DB01136,DB00907,46
DB00014,DB09038,69
DB09211,DB06209,48
DB00544,DB01685,46
DB00404,DB01068,48
DB00215,DB00938,19
DB00312,DB00457,59
DB11619,DB04898,69
DB00996,DB00423,48
DB00458,DB01068,48
DB06148,DB01211,46
DB00924,DB01161,48
DB08798,DB00169,46
DB04898,DB00586,5
DB00877,DB01211,46
DB00246,DB00807,48
DB00485,DB00479,74
DB00528,DB00571,59
DB00594,DB00586,36
DB00603,DB04898,69
DB00899,DB01209,48
DB00963,DB01046,69
DB00215,DB00199,46
DB00996,DB04842,48
DB00680,DB01611,72
DB00835,DB01264,72
DB00186,DB01081,48
DB09291,DB00246,46
DB09477,DB00328,48
DB00960,DB00185,48
DB00387,DB00340,48
DB01211,DB00543,19
DB00807,DB01154,48
DB00292,DB00835,48
