d1,d2,type
DB00661,DB09120,46
DB01080,DB00653,15
DB01576,DB09104,71
DB00091,DB08991,56
DB00423,DB00575,48
DB01104,DB06717,72
DB01176,DB01621,48
DB01189,DB00187,48
DB01224,DB00754,48
DB00278,DB05266,5
DB08901,DB00502,46
DB00601,DB00904,63
DB00203,DB00275,9
DB00949,DB06730,74
DB01320,DB09198,46
DB08897,DB00392,1
DB01296,DB00705,46
DB00244,DB06739,56
DB09218,DB00429,69
DB01087,DB00938,19
DB08907,DB06717,72
DB00773,DB00188,46
DB04871,DB00408,48
DB09352,DB00920,75
DB12267,DB01590,74
DB01349,DB00582,46
DB01242,DB00653,15
DB01370,DB04868,74
DB00679,DB00594,48
DB13142,DB00774,71
DB01030,DB01254,72
DB00887,DB01337,16
DB00228,DB00184,46
DB00831,DB01068,48
DB01624,DB02546,19
DB01605,DB00919,74
DB00091,DB08943,46
DB00615,DB01034,72
DB01037,DB00727,48
DB01201,DB00943,3
DB00820,DB00960,9
DB00230,DB01433,7
DB00774,DB00800,59
DB00797,DB01136,59
DB01433,DB13323,48
DB00418,DB00691,59
DB01154,DB00343,59
DB00208,DB00806,52
DB00465,DB01250,48
DB00178,DB01224,48
DB00780,DB06700,48
DB00797,DB01224,48
DB00232,DB00575,48
DB01018,DB01241,46
DB00176,DB00952,48
DB00798,DB09215,71
DB00843,DB08893,46
DB00182,DB00608,46
DB00795,DB00808,69
DB09227,DB00421,48
DB01198,DB01124,46
DB01268,DB00735,46
DB00611,DB01365,68
DB01045,DB08931,3
DB00753,DB13323,48
DB00402,DB01545,48
DB09352,DB07615,75
DB01171,DB00521,59
DB01010,DB00572,69
DB01429,DB05812,72
DB01244,DB00176,46
DB00955,DB01024,71
DB00743,DB00289,19
DB01241,DB09073,72
DB00696,DB01100,48
DB08815,DB00980,48
DB00731,DB00285,46
DB08807,DB08868,53
DB01452,DB01242,48
DB01098,DB00313,46
DB00187,DB00476,29
DB00589,DB00353,48
DB00498,DB00461,5
DB01355,DB00341,48
DB00366,DB00653,15
DB00356,DB06204,15
DB00252,DB00296,3
DB00514,DB00582,46
DB06813,DB00814,72
DB06694,DB01098,48
DB04951,DB06736,48
DB01320,DB01263,74
DB01154,DB00876,59
DB06737,DB05219,46
DB00244,DB00779,26
DB01614,DB06282,48
DB01170,DB06694,59
DB09093,DB03754,66
DB01251,DB04339,48
DB01141,DB09227,48
DB01030,DB11817,72
DB09091,DB00681,82
DB00243,DB00338,72
DB00934,DB00932,46
DB00699,DB00780,48
DB01224,DB02703,72
DB00608,DB00582,46
DB01015,DB00672,8
DB01367,DB09236,59
DB00757,DB00691,19
DB06708,DB01232,72
DB00807,DB06770,48
DB01268,DB01132,8
DB00295,DB00813,48
DB13783,DB01348,69
DB08815,DB01202,48
DB06196,DB01708,48
DB00599,DB06694,3
DB00921,DB00996,15
DB00607,DB09236,3
DB00881,DB04846,59
DB12332,DB09198,46
DB00599,DB01452,48
DB00296,DB00961,48
DB01179,DB00320,46
DB00981,DB01273,48
DB00448,DB00359,46
DB00402,DB00996,48
DB09030,DB02709,5
DB00226,DB00343,59
DB01072,DB09118,72
DB01144,DB01193,48
DB00696,DB00997,48
DB00715,DB11609,63
DB00983,DB00951,46
DB05812,DB04868,46
DB00794,DB00604,3
DB01609,DB00696,74
DB00999,DB09026,48
DB06016,DB00363,46
DB00281,DB06695,76
DB00209,DB00844,48
DB04841,DB01101,46
DB00413,DB01203,48
DB01095,DB00762,72
DB01359,DB00285,72
DB12598,DB00591,48
DB01567,DB04946,48
DB00295,DB00433,48
DB00647,DB01576,68
DB00802,DB00903,48
DB00512,DB12598,72
DB00392,DB00844,48
DB04846,DB00411,48
DB01614,DB00335,59
DB00543,DB00620,69
DB00261,DB05812,72
DB08881,DB00947,74
DB12483,DB00976,46
DB00335,DB01396,53
DB00734,DB04896,46
DB00663,DB00783,72
DB00907,DB00697,48
DB00790,DB01357,74
DB01319,DB04878,69
DB01229,DB00322,46
DB01171,DB00214,59
DB01098,DB01127,72
DB00333,DB00490,48
DB00182,DB08801,75
DB06791,DB00390,57
DB00771,DB01320,48
DB00655,DB01232,46
DB00589,DB01062,48
DB00960,DB04896,72
DB02709,DB00817,26
DB01238,DB00228,48
DB00230,DB01065,7
DB00983,DB00349,46
DB00468,DB01348,59
DB00402,DB00321,48
DB01268,DB01396,57
DB06770,DB00754,48
DB01045,DB00188,74
DB00628,DB01149,46
DB00898,DB06237,59
DB00006,DB04743,5
DB00571,DB00472,46
DB00986,DB01551,48
DB00699,DB09048,48
DB13872,DB09118,48
DB00646,DB09227,48
DB06781,DB01155,48
DB06216,DB00241,48
DB00749,DB00905,69
DB06292,DB08907,48
DB00543,DB00754,48
DB01433,DB00214,48
DB00820,DB00206,9
DB01551,DB00281,48
DB06216,DB08987,48
DB01192,DB09241,48
DB11586,DB00890,74
DB01184,DB06595,46
DB00421,DB00999,48
DB00313,DB01065,48
DB01173,DB00906,15
DB06016,DB00349,46
DB01320,DB01015,3
DB01041,DB00907,15
DB00798,DB01397,71
DB08932,DB06413,46
DB00333,DB00241,48
DB00755,DB09048,72
DB00872,DB00361,72
DB01087,DB06825,19
DB00821,DB01097,48
DB06201,DB13025,48
DB00333,DB09342,48
DB06216,DB00801,48
DB00281,DB01239,48
DB00346,DB00436,59
DB00559,DB00404,74
DB01045,DB01580,74
DB01201,DB00949,3
DB01020,DB00285,46
DB01169,DB00285,19
DB00343,DB00472,46
DB01143,DB01115,48
DB06228,DB06725,5
DB00554,DB00487,26
DB05239,DB09118,72
DB08797,DB06786,48
DB01117,DB00250,48
DB00835,DB00458,46
DB08912,DB01355,74
DB00611,DB00695,48
DB11093,DB00310,71
DB06770,DB09225,48
DB01418,DB00229,5
DB00762,DB09063,72
DB06789,DB01263,46
DB09330,DB04841,74
DB00921,DB13323,15
DB00899,DB00961,48
DB00452,DB01078,74
DB09236,DB04920,48
DB00818,DB09225,48
DB08922,DB13025,48
DB01016,DB00622,46
DB06702,DB08881,72
DB01201,DB00757,3
DB01115,DB00898,72
DB01137,DB01259,19
DB01179,DB02703,72
DB01624,DB00292,48
DB09214,DB00359,48
DB00404,DB01356,48
DB01623,DB00349,48
DB00531,DB08911,14
DB01105,DB00834,72
DB00216,DB01241,46
DB00584,DB01203,48
DB00744,DB00203,46
DB01224,DB01545,48
DB00567,DB00679,46
DB04861,DB00502,72
DB01233,DB01214,53
DB01396,DB01087,72
DB00490,DB00653,15
DB09218,DB00524,69
DB11614,DB01167,46
DB00325,DB00692,59
DB00244,DB00467,26
DB09075,DB06616,72
DB00178,DB01024,48
DB01418,DB01414,5
DB08931,DB09026,48
DB01050,DB06739,48
DB00599,DB00964,59
DB00418,DB01235,48
DB11268,DB01166,5
DB01143,DB01282,48
DB00921,DB06282,15
DB09270,DB00528,72
DB00281,DB06595,46
DB01097,DB01092,57
DB04272,DB09079,48
DB01356,DB00697,48
DB09286,DB08941,48
DB13142,DB08826,74
DB00753,DB08931,48
DB00238,DB00481,3
DB01604,DB00452,74
DB00499,DB01078,57
DB06725,DB00443,48
DB00570,DB01167,72
DB09280,DB01196,74
DB00575,DB00932,46
DB00680,DB03754,66
DB00915,DB00898,15
DB09286,DB00457,48
DB00384,DB01018,48
DB00904,DB00593,48
DB01324,DB08907,69
DB00521,DB09235,59
DB00230,DB00227,48
DB01192,DB00703,48
DB01167,DB06717,72
DB00753,DB00421,48
DB00687,DB01072,72
DB00433,DB00813,48
DB00321,DB01101,46
DB13145,DB01396,57
DB00797,DB06403,59
DB00253,DB00487,48
DB00484,DB00774,9
DB09296,DB04868,46
DB00211,DB09352,48
DB04898,DB00625,46
DB01128,DB01319,46
DB00296,DB00857,46
DB09330,DB09063,72
DB00812,DB00549,46
DB00361,DB00619,46
DB09204,DB01078,53
DB00238,DB00843,3
DB00542,DB08880,48
DB01356,DB01063,34
DB06228,DB13783,65
DB09076,DB12332,46
DB00904,DB01118,46
DB00472,DB00952,48
DB01370,DB00860,2
DB01118,DB01320,19
DB06155,DB00619,46
DB09241,DB00905,59
DB01098,DB08909,72
DB00334,DB00243,72
DB00193,DB09015,48
DB06204,DB00205,46
DB00527,DB04841,48
DB06711,DB01359,24
DB01118,DB00318,69
DB09292,DB01115,48
DB00952,DB01356,48
DB00700,DB08933,72
DB00520,DB09236,48
DB00694,DB09073,72
DB00751,DB09211,52
DB01192,DB01176,48
DB06217,DB09065,72
DB08815,DB00660,48
DB00988,DB01101,46
DB01418,DB01015,5
DB00788,DB00795,48
DB00214,DB09026,48
DB01050,DB01088,69
DB01014,DB09215,56
DB00396,DB00285,46
DB08994,DB01236,5
DB01190,DB00203,46
DB06616,DB01100,72
DB01118,DB00450,19
DB00310,DB00524,48
DB01050,DB01259,46
DB00296,DB13323,48
DB00999,DB00986,72
DB00436,DB00245,72
DB00906,DB01232,46
DB00404,DB00263,46
DB00250,DB00359,48
DB00091,DB12598,72
DB01167,DB01319,76
DB01197,DB01180,59
DB00373,DB00390,53
DB00717,DB00974,69
DB01600,DB00630,48
DB04841,DB00176,46
DB01229,DB00827,48
DB01144,DB01340,48
DB01107,DB06708,46
DB00780,DB00325,59
DB06262,DB00335,24
DB00310,DB00476,29
DB06712,DB06826,59
DB00202,DB00813,53
DB01195,DB01189,19
DB00998,DB05812,72
DB00780,DB00333,48
DB00363,DB00318,69
DB00531,DB06697,46
DB01090,DB00327,48
DB09282,DB00524,59
DB01120,DB01137,8
DB00903,DB00728,16
DB08906,DB01254,72
DB00214,DB01261,69
DB00794,DB11575,3
DB00629,DB08808,24
DB01016,DB00285,46
DB01045,DB00758,48
DB09291,DB06290,72
DB00981,DB00184,48
DB08901,DB00673,72
DB00865,DB00985,75
DB00996,DB00555,48
DB08912,DB00448,74
DB00458,DB09112,48
DB00206,DB01180,59
DB01043,DB01359,53
DB09262,DB00673,72
DB00467,DB11126,66
DB00909,DB01068,48
DB00289,DB00176,46
DB01224,DB01086,48
DB00252,DB00530,74
DB01198,DB01118,72
DB09049,DB00997,72
DB06820,DB09090,48
DB01320,DB12267,3
DB06148,DB01242,46
DB00295,DB09048,72
DB01171,DB00257,46
DB06626,DB06595,46
DB00864,DB00210,56
DB01183,DB00705,46
DB01008,DB08943,72
DB01008,DB01232,46
DB00623,DB00844,48
DB01201,DB00620,3
DB00268,DB09244,46
DB00757,DB00808,19
DB00243,DB00619,72
DB01238,DB00706,59
DB01418,DB00540,5
DB09101,DB09330,72
DB00850,DB01264,72
DB00512,DB00936,72
DB01247,DB00876,59
DB01201,DB00759,3
DB09241,DB00217,59
DB00530,DB09074,46
DB00764,DB08909,69
DB00780,DB04842,48
DB00843,DB01085,48
DB00275,DB01143,59
DB00230,DB00771,7
DB00246,DB01202,48
DB00852,DB00985,75
DB01367,DB00800,59
DB00502,DB01268,19
DB01069,DB09104,66
DB01440,DB00555,48
DB00327,DB01215,48
DB00647,DB00405,48
DB01235,DB00238,46
DB01186,DB01217,48
DB00814,DB00821,48
DB00814,DB01264,46
DB00186,DB01452,48
DB09074,DB00257,72
DB06616,DB00831,72
DB00876,DB01162,48
DB00946,DB09215,5
DB00555,DB00726,48
DB00454,DB00420,46
DB01452,DB00726,48
DB06335,DB00685,8
DB01016,DB00612,8
DB06737,DB01241,46
DB01236,DB00373,48
DB01229,DB06263,48
DB00321,DB00201,46
DB09244,DB01170,59
DB09009,DB00241,48
DB08875,DB00622,46
DB01578,DB01097,71
DB00378,DB06154,69
DB00295,DB05812,72
DB13874,DB09073,72
DB01080,DB00472,48
DB09166,DB00208,46
DB01065,DB00951,46
DB00266,DB00806,5
DB01558,DB00906,48
DB05294,DB01075,19
DB00905,DB00999,59
DB06292,DB09543,8
DB00296,DB01580,48
DB09075,DB01103,72
DB06770,DB09063,72
DB01351,DB09238,3
DB00823,DB00731,69
DB01410,DB01245,48
DB00615,DB00656,3
DB00773,DB06290,72
DB09245,DB00622,59
DB01043,DB00747,69
DB01435,DB08439,48
DB00527,DB00434,48
DB00988,DB00257,46
DB01320,DB00589,3
DB00820,DB00343,9
DB00232,DB00968,48
DB00520,DB00864,74
DB01621,DB06204,15
DB00324,DB00808,82
DB00241,DB01202,48
DB00735,DB01133,48
DB00388,DB00865,48
DB00734,DB01238,48
DB01708,DB00903,82
DB06738,DB00344,48
DB00298,DB00647,48
DB01015,DB00208,46
DB06712,DB01113,48
DB00189,DB00356,48
DB00495,DB00254,46
DB06403,DB00673,72
DB08916,DB01138,72
DB01221,DB01624,48
DB00584,DB00999,48
DB00278,DB06717,72
DB00956,DB09128,15
DB00279,DB08880,72
DB00248,DB01623,48
DB00489,DB01340,48
DB00296,DB01356,48
DB00889,DB01104,19
DB13167,DB09449,56
DB00312,DB00204,3
DB01656,DB00563,33
DB00682,DB00301,11
DB01544,DB00257,46
DB00925,DB08933,72
DB01191,DB09291,46
DB00590,DB00289,46
DB00215,DB00529,19
DB08897,DB00844,48
DB01268,DB00419,8
DB00176,DB01080,48
DB00820,DB05521,72
DB00458,DB00771,48
DB00230,DB01239,7
DB00794,DB00990,74
DB00436,DB06712,59
DB01577,DB01100,60
DB09280,DB01110,3
DB09267,DB00487,74
DB08991,DB00873,48
DB00281,DB00571,72
DB00312,DB01340,59
DB00247,DB13874,48
DB01367,DB02638,59
DB01173,DB00950,15
DB00320,DB01037,48
DB04840,DB00584,59
DB09128,DB00951,72
DB00613,DB01023,72
DB00425,DB00813,15
DB01219,DB05521,46
DB01045,DB09073,72
DB09242,DB01359,24
DB00230,DB01100,7
DB08881,DB06739,74
DB00559,DB01143,59
DB12070,DB09118,46
DB00396,DB08893,46
DB01267,DB06716,48
DB00884,DB00227,48
DB00178,DB00622,48
DB00469,DB01133,48
DB00404,DB00593,48
DB00393,DB00519,48
DB01162,DB06292,48
DB01081,DB00409,48
DB00592,DB00363,46
DB00323,DB09118,48
DB01356,DB00150,63
DB00898,DB00289,46
DB00905,DB09235,59
DB08899,DB00612,74
DB00772,DB09198,46
DB00846,DB01072,72
DB00458,DB01156,46
DB00679,DB06697,72
DB01017,DB01607,69
DB04920,DB00208,46
DB04861,DB06708,72
DB00947,DB00176,46
DB00261,DB09543,48
DB09281,DB00180,2
DB00371,DB06413,46
DB01348,DB01097,48
DB00790,DB04743,48
DB01018,DB01175,48
DB06712,DB01089,59
DB05271,DB00797,48
DB01244,DB00420,46
DB00238,DB01234,74
DB00458,DB09026,48
DB01351,DB04920,59
DB00499,DB00501,46
DB06684,DB09063,72
DB00980,DB06717,72
DB00368,DB01324,82
DB00261,DB01236,19
DB00214,DB01144,48
DB00985,DB04841,48
DB00540,DB01124,46
DB01100,DB00818,19
DB01175,DB09074,46
DB01590,DB00845,72
DB01120,DB09204,8
DB00699,DB00813,48
DB00850,DB01319,46
DB00898,DB00805,48
DB00726,DB01063,48
DB01081,DB09338,48
DB06196,DB08439,48
DB01050,DB00808,69
DB01221,DB00771,48
DB00883,DB00246,46
DB09034,DB00434,15
DB01320,DB01621,3
DB00481,DB06717,72
DB00864,DB09218,56
DB00268,DB00457,48
DB01260,DB06412,73
DB01614,DB01068,48
DB00275,DB00887,48
DB00461,DB00764,48
DB00668,DB01037,70
DB06723,DB00591,2
DB01440,DB00985,48
DB00214,DB00997,48
DB00961,DB01355,48
DB13783,DB00180,48
DB00402,DB01101,46
DB01320,DB01396,3
DB09236,DB06268,59
DB00945,DB01254,5
DB08880,DB06769,74
DB01602,DB00479,74
DB11575,DB12332,46
DB00898,DB00628,15
DB00747,DB01202,48
DB00371,DB00909,48
DB06335,DB01072,72
DB09204,DB00296,48
DB06616,DB00503,72
DB00498,DB00582,72
DB01181,DB01396,57
DB00393,DB00584,48
DB00443,DB06819,69
DB01045,DB01129,3
DB13872,DB01151,48
DB08922,DB00289,46
DB09286,DB00722,48
DB09074,DB01263,72
DB00800,DB00968,59
DB00943,DB09054,46
DB09039,DB00710,19
DB00252,DB01229,3
DB00266,DB00328,5
DB01545,DB00660,48
DB00808,DB01173,72
DB00346,DB00524,59
DB08877,DB08895,33
DB00216,DB04946,48
DB00960,DB09236,59
DB00351,DB06203,69
DB01377,DB08826,74
DB00333,DB00514,48
DB00559,DB11737,74
DB00252,DB00400,72
DB09280,DB01016,74
DB08899,DB00541,74
DB08881,DB00717,74
DB00966,DB09038,48
DB00950,DB00980,48
DB00936,DB09231,48
DB00175,DB00254,46
DB00914,DB00503,46
DB01111,DB00694,56
DB00846,DB01199,48
DB01023,DB00263,46
DB00615,DB01015,3
DB00388,DB01366,48
DB00530,DB00468,46
DB00700,DB01359,48
DB00461,DB00257,46
DB04951,DB01044,26
DB01167,DB09236,48
DB09049,DB00967,72
DB11613,DB00320,46
DB01103,DB09118,72
DB01045,DB06697,3
DB00253,DB09118,72
DB04835,DB09065,72
DB00690,DB01081,48
DB00295,DB00281,48
DB01240,DB01144,48
DB00754,DB00949,48
DB00454,DB09342,48
DB08807,DB06736,36
DB00327,DB00241,48
DB00281,DB01068,48
DB09034,DB00224,72
DB00344,DB09000,48
DB01365,DB06794,75
DB00276,DB01156,46
DB06335,DB06717,72
DB09543,DB13158,48
DB11817,DB01263,46
DB00704,DB00327,69
DB00433,DB00373,59
DB00618,DB08938,66
DB01232,DB00753,19
DB00006,DB01236,5
DB00714,DB09286,48
DB00250,DB00951,46
DB09280,DB00394,74
DB00759,DB00263,46
DB00408,DB06204,15
DB00813,DB01254,72
DB00936,DB04743,48
DB00912,DB00166,8
DB03754,DB00630,74
DB01024,DB00655,48
DB01214,DB01396,53
DB00807,DB06716,48
DB11613,DB09065,46
DB00593,DB09330,72
DB00393,DB08907,48
DB01184,DB04855,72
DB00675,DB00263,46
DB00206,DB00344,48
DB00898,DB09017,15
DB09342,DB09118,48
DB00698,DB09291,72
DB01367,DB00975,48
DB09038,DB00472,8
DB00715,DB09238,46
DB06480,DB00213,72
DB00999,DB01020,48
DB00619,DB00254,72
DB00695,DB00476,29
DB00983,DB09120,46
DB00391,DB06204,15
DB00498,DB07615,5
DB00158,DB00184,46
DB09414,DB09275,66
DB01234,DB08882,74
DB00648,DB00987,74
DB08931,DB12598,72
DB00584,DB02709,48
DB01351,DB00275,59
DB00722,DB08797,48
DB01104,DB13025,48
DB00187,DB01611,46
DB00177,DB04552,48
DB04272,DB00814,5
DB00358,DB09119,69
